x,luma
1.872206E-1,3.149665E1
1.871469E-1,3.086527E1
1.870733E-1,3.054867E1
1.869996E-1,3.028043E1
1.869259E-1,2.964320E1
1.868522E-1,2.873176E1
1.867785E-1,2.822010E1
1.867049E-1,2.831371E1
1.866312E-1,2.902574E1
1.865575E-1,3.021235E1
1.864838E-1,3.121113E1
1.864102E-1,3.151699E1
1.863365E-1,3.142902E1
1.862628E-1,3.120498E1
1.861891E-1,3.111758E1
1.861155E-1,3.090810E1
1.860418E-1,3.019434E1
1.859681E-1,3.015142E1
1.858944E-1,2.993135E1
1.858208E-1,2.954552E1
1.857471E-1,3.124378E1
1.856734E-1,3.447929E1
1.855997E-1,3.622422E1
1.855260E-1,3.722869E1
1.854524E-1,3.834650E1
1.853787E-1,3.861440E1
1.853050E-1,3.902490E1
1.852313E-1,4.001795E1
1.851577E-1,4.055557E1
1.850840E-1,3.879672E1
1.850103E-1,3.594037E1
1.849366E-1,3.568390E1
1.848630E-1,3.816714E1
1.847893E-1,4.113539E1
1.847156E-1,4.365882E1
1.846419E-1,4.533777E1
1.845682E-1,4.599751E1
1.844946E-1,4.511284E1
1.844209E-1,4.346673E1
1.843472E-1,4.338962E1
1.842735E-1,4.407383E1
1.841999E-1,4.300760E1
1.841262E-1,4.053452E1
1.840525E-1,3.748519E1
1.839788E-1,3.701488E1
1.839052E-1,4.016995E1
1.838315E-1,4.435271E1
1.837578E-1,4.638487E1
1.836841E-1,4.689129E1
1.836105E-1,4.641902E1
1.835368E-1,4.594207E1
1.834631E-1,4.482060E1
1.833894E-1,4.374517E1
1.833157E-1,4.262016E1
1.832421E-1,4.133831E1
1.831684E-1,3.975797E1
1.830947E-1,3.860446E1
1.830210E-1,3.848144E1
1.829474E-1,4.047366E1
